StateName,County,Countyrate,City,Salestaxrate,AlachuaCounty,7%
Alabama,,,Athens,9%,,
Alabama,,,Madison,6%,,
Alabama,,,Elkmont,6%,,
Alabama,,,Ardmore,6%,,
Alabama,,,Tanner,6%,,
Alabama,,,Lester,6%,,
Alabama,,,Capshaw,6%,,
Alabama,,,Belle Mina,6%,,
Alabama,,,Mooresville,6%,,
Alabama,,,,,,
Alabama,Lowndes County,10.50%,Hayneville,8%,,
Alabama,,,Hope Hull,8%,,
Alabama,,,Fort Deposit,11%,,
Alabama,,,Lowndesboro,8%,,
Alabama,,,Letohatchee,8%,,
Alabama,,,Tyler,8%,,
Alabama,,,,,,
Alabama,Macon County,11.50%,Tuskegee,11.50%,,
Alabama,,,Notasulga,6.50%,,
Alabama,,,Tuskegee Institute,11.50%,,
Alabama,,,Shorter,9%,,
Alabama,,,Hardaway,6.50%,,
Alabama,,,Fort Davis,6.50%,,
Alabama,,,,,,
Alabama,Madison County,9%,Huntsville,9%,,
Alabama,,,Madison,9%,,
Alabama,,,Harvest,5.50%,,
Alabama,,,Owens Cross Roads,9.00%,,
Alabama,,,Hazel Green,5.50%,,
Alabama,,,Madison,5.50%,,
Alabama,,,Toney,5.50%,,
Alabama,,,New Market,5.50%,,
Alabama,,,Meridianville,5.50%,,
Alabama,,,Gurley,5.50%,,
Alabama,,,New Hope,5.50%,,
Alabama,,,Brownsboro,5.50%,,
Alabama,,,Normal,9.00%,,
Alabama,,,Ryland,5.50%,,
Alabama,,,,,,
Alabama,Marengo County,9%,Demopolis,9%,,
Alabama,,,Linden,9%,,
Alabama,,,Gallion,6%,,
Alabama,,,Sweet Water,6%,,
Alabama,,,Dixons Mills,6%,,
Alabama,,,Faunsdale,6%,,
Alabama,,,Thomaston,6%,,
Alabama,,,Magnolia,6%,,
Alabama,,,Jefferson,6%,,
Alabama,,,,,,
Alabama,Marion County,10%,Hamilton,9%,,
Alabama,,,Winfield,10%,,
Alabama,,,Guin,9%,,
Alabama,,,Hackleburg,8%,,
Alabama,,,Brilliant,9%,,
Alabama,,,Bear Creek,9%,,
Alabama,,,,,,
Alabama,Marshall County,9%,Albertville,9%,,
Alabama,,,Arab,9%,,
Alabama,,,Guntersville,7.50%,,
Alabama,,,Boaz,9%,,
Alabama,,,Grant,5%,,
Alabama,,,Union Grove,5%,,
Alabama,,,Horton,5%,,
Alabama,,,Douglas,8%,,
Alabama,,,Langston,8%,,
Alabama,,,,,,
Alabama,Mobile County,10%,Mobile,10%,,
Alabama,,,Mobile,8%,,
Alabama,,,Theodore,8%,,
Alabama,,,Semmes,7%,,
Alabama,,,Mobile,10%,,
Alabama,,,Saraland,10%,,
Alabama,,,Grand Bay,5.50%,,
Alabama,,,Eight Mile,10%,,
Alabama,,,Irvington,5.50%,,
Alabama,,,Wilmer,5.50%,,
Alabama,,,Satsuma,10%,,
Alabama,,,Citronelle,10%,,
Alabama,,,Mobile,10%,,
Alabama,,,Chunchula,5.50%,,
Alabama,,,Mount Vernon,5.50%,,
Alabama,,,Coden,5.50%,,
Alabama,,,Creola,9.50%,,
Alabama,,,Bayou La Batre,10.00%,,
Alabama,,,Dauphin Island,10.00%,,
Alabama,,,Axis,7.50%,,
Alabama,,,Theodore,10%,,
Alabama,,,Saint Elmo,7.75%,,
Alabama,,,Bucks,5.50%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Monroe County,10%,Monroeville,10%,,
Alabama,,,Frisco City,7.50%,,
Alabama,,,Uriah,7.50%,,
Alabama,,,Excel,9.50%,,
Alabama,,,Peterman,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Beatrice,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Franklin,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Mexia,8.75%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Goodway,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Perdue Hill,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Vredenburgh,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Montgomery County,10%,Montgomery,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Pike Road,7.63%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Ramer,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Grady,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Mathews,7.63%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Cecil,7.63%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Pine Level,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Mount Meigs,7.63%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Morgan County,9%,Decatur,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Hartselle,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Somerville,7%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Falkville,7%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Laceys Spring,7%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Eva,7%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Valhermoso Springs,7%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Perry County,10%,Marion,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Uniontown,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Pickens County,9%,Gordo,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Aliceville,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Reform,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Carrollton,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Ethelsville,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Mc Shan,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Pike County,9.50%,Troy,9.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Brundidge,9.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Goshen,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Banks,7.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Randolph County,6.50%,Roanoke,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Wedowee,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Woodland,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Wadley,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Graham,6.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Russell County,9.50%,Phenix City,9.50%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Seale,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Fort Mitchell,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Hurtsboro,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Pittsview,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Cottonton,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Holy Trinity,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Hatchechubbee,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,Shelby County,10%,Birmingham,6.75%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Alabaster,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Pelham,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Helena,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
